Korean,English 
연관,"""relation; connection"""
여가,"""leisure; spare time; free time"""
영혼,"""spirit; soul"""
업계,"""industry; business circles; trade"""
영양제,"""nutritional supplements"""
열정,"""passion"""
운행,"""running; operation; service; movement; revolution"""
연주회,"""concert; recital"""
온천,"""hot spring"""
연기,"""delay; postponement"""
억양,"""intonation; accent"""
어찌하다,"""show why; do"""
우물,"""well"""
요소,"""element; component; factor; requisite"""
외치다,"""cry out; shout; argue; assert"""
엎드리다 ,"""lie on one's belly; bend down"""
연주 ,"""performance"""
용기,"""courage; guts"""
예의,"""courtesy; manners"""
억지로,"""reluctantly; forcibly"""
영향,"""influence"""
외교관,"""diplomat"""
요구,"""request; demand"""
외과,"""surgery; department of surgery"""
여기다,"""regard; think; count"""
언덕,"""hill; slope"""
외부,"""outside; being external; exterior"""
외면,"""looking away; turning away; avoidance; disregard"""
외투,"""outer garment"""
우수,"""excellence; superiority"""
예외,"""exception"""
언급,"""mentioning; referring; reference"""
엉뚱하다,"""strange; bizzare; eccentric; absurd; irrelevant; inappropriate; unrelated"""
예컨대,"""for instance; such as"""
업다,"""carry someone on one's back; be backed by"""
욕심,"""desire; greed"""
엮다,"""weave; plait; tie"""
예선,"""preliminary contest"""
연두색,"""yellowish green"""
욕 ,"""foul language; abusive language; reproach; rebuke; shame; humiliation"""
엉터리,"""nonsense; absurdity; sham; fake; fraud; quack"""
용어,"""term; terminology"""
우승,"""victory; championship"""
온몸,"""whole body"""
열기,"""heat; hotness; feverishness; excitement; enthusiasm; fever"""
올려다보다,"""look up; respect"""
역할,"""role; part"""
여럿,"""many; several; plenty"""
연속,"""continuity"""
운전면허,"""driver's license"""
여관,"""inn"""
열리다,"""fruit"""
영양 ,"""nutrition; nutrient"""
엄숙아다,"""solemn; grave; serious"""
연고,"""ointment"""
언론,"""press; journalism"""
온갖,"""all; every; all kinds of"""
용감하다,"""brave; courageous"""
열매,"""fruit; berry; reward"""
예보,"""forecast"""
오직,"""just; only; solely"""
요새,"""these days; nowadays; lately"""
예방,"""prevention"""
영향력,"""power of influence"""
여유,"""having more than enough of time, space, money; easygoingness; carefreeness"""
운반,"""transportation; conveyance; carriage"""
여유롭다,"""relaxed; easygoing"""
용건,"""business; things to do"""
예감,"""premonition; presage; hunch"""
연합,"""union; association"""
엄청나다,"""enormous; colossal; stupendous"""
용서,"""forgiveness; mercy"""
워낙,"""too; excessively; so; basically; by birth"""
어리석다,"""silly; stupid; idiotic"""
옷차림,"""attired appearance"""
우측,"""right side"""
우회전,"""right turn"""
예식장,"""ceremony hall"""
예측,"""prediction"""
예산 ,"""budget"""
외모,"""appearance"""
연설,"""speech; address"""
얻어먹다,"""beg food; beg one's bread; get treated to; be abused; be slandered; be spoken ill of"""
연체,"""being overdue; arrearage"""
예비,"""reserve; stock; preparation"""
엿보다,"""peep; look furtively; steal a glance; guess; infer; wait for"""
원,"""circle"""
오히려,"""on the contrary; rather; preferably"""
영역,"""territory; domain; sphere; scope"""
얼룩,"""spot; stain"""
연출,"""production; direction; management; staging"""
오로지,"""solely"""
원리,"""principle; fundamental; law"""
용품,"""goods; articles; items"""
요인,"""factor; cause"""
예절,"""courtesy; manners"""
연탄,"""briquet"""
업체,"""company; business entity; enterprise"""
우려,"""worry; concern"""
우아하다,"""elegant; graceful"""
운영,"""operation; management"""
욕망,"""desire; craving"""
연령,"""age"""
연못,"""pond"""
예고,"""previous notice"""
영리하다,"""clever; bright; intelligent"""
우습다,"""funny; ridiculous; trivial"""
우기다,"""insist; persist"""
온통,"""entirely; wholly"""
씌우다,"""put something on; cover; throw over"""
싱싱하다,"""fresh; healthy; energetic"""
안기다,"""be in another person's arms"""
안부,"""news; regards"""
애완동물,"""pet animal"""
쑥스럽다,"""awkward; shy"""
쌓이다,"""be piled up; be heapedl be built; be constructed; be laid"""
앓다,"""be sick; suffer; be stressed out; be worried about"""
실컷,"""to one's satisfaction; heartily; to one's heart's content; hard; seriously"""
앞서다,"""go ahead; head; lead; precede; overtake; outstrip"""
승패,"""victory or defeat"""
쓰다듬다,"""stroke; pet; soothe"""
쑤시다,"""ache"""
쓸다,"""sweep; stroke"""
암기,"""memorize; learning"""
야하다,"""erotic; racy; risque"""
야외,"""field; outdoor; outside; open air"""
어기다,"""break; infringe; disobey"""
양국,"""both countries"""
알차다,"""substantial"""
안기다,"""put something in one's arms; charge; lay; entrust; bring; give"""
시선,"""eyes; gaze"""
실현,"""realization; materialization"""
액수,"""sum; amount"""
썩다,"""decay; rot; be decayed; rust; be rotten"""
양산,"""parasol"""
싸이다,"""be wrapped; be surrounded; fall into"""
실리다,"""be loaded; be laded; be carried; be put on board; be published; be printed"""
신맛,"""sourness"""
악화,"""aggravation; worsening; exacerbation"""
시기,"""envy; jealousy"""
애쓰다,"""try hard"""
신욕,"""appetite"""
시야,"""visible area; visibility range; perspective; point of view"""
시각,"""viewpoint; perspective"""
시력,"""sight; vision"""
승낙,"""approve; consent; permission"""
습기,"""moisture; humidity"""
승무원,"""crew member"""
안정,"""stabilization"""
실천,"""practice; action"""
실내,"""interior of a room; indoor"""
식중독,"""food poisoning"""
시외버스,"""intercity bus"""
시달리다,"""be harassed"""
아울러,"""also; besides; both"""
아무런,"""no"""
시행,"""carrying out; enforcement"""
실종,"""disappearance; missing"""
씻기다,"""wash; bathe"""
싫증,"""dislike; disgust; boredom"""
시,"""poem; poetry"""
안내원,"""guide; docent; receptionist"""
양보,"""concession; yielding; compromise"""
어긋나다,"""be dislocated; be out of joint; run counter to; go against; be estranged; be alienated; fall out"""
안색,"""complexion"""
슬쩍,"""stealthily; secretly; furtively; easily; effortlessly; slightly; lightly"""
시장,"""mayor"""
얌전,"""being docile; being meek"""
식기,"""dishes; tableware"""
신화,"""myth; mythology; legend"""
약도,"""rough map"""
썩다,"""exceedingly; greatly; so; right away; immediately"""
신중,"""caution; prudence; discretion"""
신앙,"""faith; religious belief"""
시집가다,"""get married"""
시합,"""game; contest"""
심정,"""feeling; thought; temper"""
승리,"""victory"""
안타깝다,"""feeling sorry"""
시들다,"""wilt; wither away"""
시청률,"""television ratings"""
쏘다,"""shoot; launch; speak sharply; sting"""
썰렁하다,"""chilly; desolate; dreary; embarrasing; uncomfortable"""
실체,"""substance; entity; true nature; true state"""
신부,"""father; catholic priest"""
신뢰,"""trust; faith"""
심지어,"""even"""
십상,"""match; suitability"""
시외버스,"""suburbs"""
실례,"""example; instance"""
습도,"""humidity"""
식히다,"""cool; calm down"""
심사,"""examination; evaluation; screening"""
신기하다,"""novel"""
애정,"""love; affection"""
야단,"""uproar; tumult; clamor; scolding; chiding; rebuke; trouble; predicament; quandary"""
실업,"""unemployment; loss of a job"""
액자,"""frame"""
시도,"""try; attempt"""
씨앗,"""seed"""
시청 ,"""watching"""
신용,"""confidence; trust; credit; credibility"""
악몽,"""nightmare; bad dream"""
식용유,"""cooking oil"""
신념,"""belief; faith; conviction"""
쏟아지다,"""spill; pour; gush; rush; be rushed"""
스치다,"""brush past; go past; skim; pass gently"""
신분,"""status; rank; position"""
아예,"""from the outset; not at all; entirely; utterly"""
앞세우다,"""make someone go ahead; let someone lead; do a certain act before doing something; outlive; survive"""
신,"""joy; delight"""
얕다,"""shallow; thoughtless; imprudent; superficial"""
악수,"""handshake"""
양식,"""mode; form; style; manner; way"""
쓸쓸하다,"""lonesome; solitary; cheerless; cool; dreary; chilly"""
시내버스,"""intra city bus"""
쏟다,"""pour; spill; pay; devote; give; pour out"""
신체,"""body"""
신부름,"""errand"""
신비,"""mystery"""
시절,"""days; the time"""
싸다,"""discharge"""
십상,"""fairly; perfectly"""
씩씩하다,"""lively; spirited; energetic"""
신세,"""circumstances; condition"""
쐬다,"""expose oneself; air oneself"""
심판,"""judgement; decision; referee; umpire"""
시설,"""facility; installation"""
싸구려,"""cheap thing; inferior article"""
안팎,"""inside and outside; what one says and what one does; being approximately"""
실,"""thread"""
압력,"""pressure"""
실용적,"""practical"""
심각하다,"""serious; grave"""
승진,"""promotion; advancement"""
야경,"""night view; nightscape"""
실감,"""lifelike feeling; actual feeling"""
시중,"""attendance; serving"""
승객,"""passenger"""
양심,"""conscience"""
쓰이다,"""be used; be made use of; be employed; be hired"""
애,"""anxiety; worry; efforts; troubles; hard time"""
식물,"""plant"""
신사,"""gentleman"""
실시,"""execution; operation; enforcement"""
수백,"""hundreds"""
숨다,"""hide; be hidden"""
수요,"""demand"""
새삼,"""anew; afresh; suddenly; unexpectedly"""
수면,"""water surface"""
상당히,"""fairly; pretty; considerable"""
수도꼭지,"""faucet"""
소규모,"""small scale"""
선약,"""prior appointment"""
송이,"""bunch; cluster"""
세로,"""high; long"""
생기,"""life; liveliness"""
속이다,"""deceive; lie"""
살아나다,"""revive; return to life; be restored to life; burn again; flame up again; recover"""
소음,"""noise; racket"""
수시로,"""frequently"""
손등,"""back of one's hand"""
선정,"""selection; choice"""
수사,"""investigation"""
손뼉,"""palm"""
선호,"""preference"""
성립,"""validation; establishment"""
산속,"""heart of mountain; being deep in a mountain"""
수없이,"""innumerably"""
수면제,"""sleeping pill"""
상반기,"""first half of a year; first half"""
산업,"""industry"""
생겨나다,"""occur; emerge"""
속하다,"""belong"""
숙이다,"""bow; bend; lessen"""
상식,"""common sense"""
숙박,"""lodging; staying"""
성과,"""result; outcome; product"""
소홀하다,"""negligent; indifferent"""
수동적,"""passive"""
서럽다,"""sad"""
숨지다,"""die"""
소용,"""use; good"""
생산,"""production"""
송아지,"""calf"""
상당하다,"""commensurate with; good; respectable"""
설립,"""establishment; foundation"""
생존,"""survival"""
상점,"""store; shop"""
솜씨,"""skill; dexterity; deftness; tact"""
생김새,"""appearance; looks; features"""
삶다,"""boil; coax; be hot"""
손질,"""trimming; repair"""
소수,"""minority"""
소지품,"""possessions"""
수출,"""export"""
수행,"""execution"""
설사,"""diarrhea"""
상사,"""superior; boss"""
삼키다,"""swallow; take"""
수표,"""check"""
성장,"""growth; development"""
수속,"""procedure"""
스님,"""buddhist monk"""
선거,"""election"""
서적,"""books; publications"""
쇠,"""iron"""
소비,"""consumption"""
상류,"""upper region; elite; higher society; upper class"""
성숙,"""maturity; ripeness"""
서서히,"""gradually; steadily"""
수상,"""prime minister"""
속다,"""be deceived; be fooled"""
솟다,"""soar; increase; ascend"""
섭씨,"""celcius; centigrade"""
소변,"""urine"""
쉬다,"""be hoarse"""
상히다,"""be hurt; be injured; become haggard; become lean; be damaged; be spoiled; be hurt"""
순진하다,"""innocent; naïve"""
성질,"""character; personality; quality; property"""
새다,"""leak; escape; run out; come through; shine through"""
상영,"""screening"""
수다,"""prattle; chatter"""
세력,"""power; authority; force"""
상승,"""rise; increase; ascent"""
손자,"""grandson"""
새련되다,"""polished; refined"""
서투르다,"""clumsy; unskilled"""
서부,"""west"""
숲,"""forest; woods"""
소비자,"""consumer"""
삼다,"""adopt; have; take; consider; use; regard"""
소득,"""disinfection; sterilization"""
순하다,"""meek; mild; docile; gentle"""
서운하다,"""sorry; remorseful"""
소요,"""requirement"""
소문나다,"""be well known; be rumored"""
세기,"""century"""
수동적,"""being passive"""
살피다,"""examine; check; search"""
세계화,"""globalization"""
서늘하다,"""cool; chilly"""
수입품,"""imports"""
생생하다,"""fresh; healthy; energetic"""
선전,"""advertisement"""
수입 ,"""Import"""
서양인,"""westerner"""
상징,"""symbol; emblem"""
속담,"""old saying; proverb"""
살펴보다,"""examine; check; search"""
설득,"""persuasion"""
소극적,"""passive"""
소득,"""profit; gain; income; earning"""
세대,"""household"""
수명,"""lifespan; lifetime"""
수돗물,"""tap water"""
생머리,"""straight hair"""
수수께끼,"""riddle; mystery"""
상쾌하다,"""refreshing"""
소망,"""wish; hope; desire"""
선진,"""being advanced"""
상업,"""commerce; trade"""
성실,"""faithfulness; sincerity"""
새,"""space; distance; gap; span; time"""
소매,"""sleeve"""
세월,"""time; things; world; days; years"""
색다르다,"""unusual; unconventional; peculiar"""
소재,"""being located; existing; location; site"""
수집,"""collection; gathering"""
생명,"""life"""
소형,"""being small"""
살찌다,"""gain weight; become strong; become rich"""
순식간,"""instant; moment"""
생략,"""omission; deletion"""
소독약,"""disinfectant"""
송별회,"""farewell party"
수용,"""accommodation; admitting; receiving"""
새기다,"""carve; engrave; keep; remember; record; print"""
손해,"""damage; harm"""
선진국,"""advanced country; developed country"""
소아과,"""pediatrics"""
석유,"""oil"""
소유,"""ownership; possession"""
분리,"""separation"""
뺨,"""cheek"""
비록,"""even though; although"""
비중,"""weight; importance"""
불쾌,"""being unpleasant; displeasure; discomfort"""
부상,"""injury"""
분수,"""judgement; one's means; one's condition; one's place; limit"""
비하다,"""compare; be comparable"""
붓다,"""swell; be swollen; get sulky; become sullen"""
빠뜨리다,"""drop; let fall into; put; leave"""
뻗다,"""stretch; extend; run; reach; grow; develop"""
비판적,"""being critical"""
사무직,"""office job"""
비유,"""analogy; being figurative; metaphor"""
보완,"""supplementation"""
부처,"""buddha"""
사진첩,"""photo album"""
빗길,"""rainy road"""
부대,"""military camp"""
비추다,"""shine; illuminate; light up; flash"""
부분적,"""being partial"""
빗방울,"""raindrop; rain"""
부위,"""region"""
사내,"""man"""
부수다,"""break; smash; put out of order; ruin"""
비극,"""tragedy"""
분노,"""rage; fury; violent anger; wrath; exasperation"""
사고방식,"""mindset; way of thinking"""
사상,"""thought; idea"""
불리,"""disadvantage"""
보수,"""reward; repay; compensation"""
불구하다,"""disregard; be not hindered by"""
비틀거리다,"""falter; totter"""
산꼭대기,"""mountaintop; peak; summit of mountain"""
북,"""north"""
부지런히,"""diligently; hurriedly"""
빨다,"""suck; puff on"""
보살피다,"""take care of; look after"""
보행자,"""pedestrian; walker"""
불친절,"""unkindness; unfriendliness"""
보조,"""help; subsidy; assistance"""
사태,"""situation; state"""
별다르다,"""particular; special"""
비판적,"""critical"""
부정적,"""being contradictory; being negative"""
빼앗다,"""take away; steal; snatch; deprive; seize; confiscate"""
비웃다,"""laugh mockingly; jeer at; ridicule"""
사례,"""example; case; precedent"""
사들이다,"""buy up; lay in"""
보상,"""compensation; indemnification"""
부딪치다,"""hit; bump; crash; encounter; run into; be faced with; meet; encounter"""
부품,"""part; component"""
부문,"""section; divition"""
비판 ,"""criticism; critical judgement; rebuke"""
보호,"""protection"""
사교적,"""sociable; outgoing"""
보전,"""preservation; conservation"""
부정 ,"""unlawfulness; illegitimacy"""
사전,"""being prior; being beforehand; being preliminary"""
부리다,"""do; perform; persist; wield"""
삐다,"""have a wrick in; sprain; wrench"""
비롯하다,"""start; begin; include"""
부정확,"""inaccuracy; incorrectness"""
불평,"""complaint; grumbling"""
사립,"""being private"""
사나이,"""man"""
본부,"""headquarters"""
복용,"""taking; dosing oneself"""
부딪히다,"""be bumped into; be run against; be run against"""
분실,"""loss"""
빛깔,"""color; hue; tint"""
불균형,"""imbalance"""
뿌리치다,"""shake off; refuse; turn down; decline"""
사항,"""matters; things; details"""
사적,"""personal; private"""
부서,"""department; division"""
벼,"""rice plant; rice"""
불행,"""unhappiness; misery; difficulty; misery"""
비명,"""scream; shriek"""
보장,"""guarantee"""
부인,"""woman"""
불어오다,"""blow from; begin"""
사정,"""situation; circumstances; pleading; begging"""
뿌리다,"""fall; blow and fall; throw; spray; douse; spread; waste; squander"""
복통,"""stomachache; bellyache; mortification; frustration"""
별말씀,"""particular remark; nonsensical remark"""
복도,"""corridor; hallway"""
비로소,"""not till then"""
분포,"""distribution"""
부작용,"""side effect; byproduct; complication"""
분필,"""chalk"""
빚다,"""make; mould; knead; brew"""
부,"""wealth; fortune"""
분류,"""sorting; classification"""
불충분,"""insufficiency; deficiency; shortage"""
변비,"""constipation"""
분량,"""quantity"""
불리다,"""soak; sodden; increase"""
붙들다,"""hold; grasp; grab; catch; stop; seize; hold; stop"""
볼일,"""business; things to do"""
분단,"""partition; division"""
사설,"""editorial; column"""
불편등,"""inequality; disparity"""
병들다,"""fall ill; become sick"""
본래,"""originally"""
비만,"""obesity"""
보름,"""fifteen days; half a month"""
비기다,"""tie"""
보물,"""treasure; jewel"""
비난,"""blame; condemnation; criticism"""
빠트리다,"""drop; let fall into; put; leave"""
보도,"""news; report; reporting"""
분명,"""clearly; surely"""
별도,"""separate one; extra one"""
보급,"""supply"""
사냥,"""hunting; preying on"""
본질,"""essence; nature"""
보람,"""fruit; benefit; effect; worth"""
북미,"""north america"""
사막,"""desert"""
비결,"""secret; know-how"""
뿌리,"""root"""
빗다,"""comb"""
부주의,"""carelessness"""
부서지다,"""be shattered; break; be broken; break down"""
사연,"""story; full story"""
변덕스럽다,"""whimsical; changeable; inconstant"""
부정,"""negation"""
사물,"""object; thing"""
부근,"""neighborhood; vicinity"""
붐비다,"""be crowded; be jam-packed with"""
분수,"""fountain"""
벽지,"""wallpaper"""
사소하다,"""trifling; trivial"""
보석,"""jewel"""
변명,"""excuse; justification"""
불이익,"""disadvantage; penalty; detriment"""
사로잡다,"""capture; catch alive; captivate; enthrall; obsess"""
사표,"""resignation; letter of resignation"""
별일 ,"""odd thing; strange thing; unusual affair; all kinds of affairs"""
본능,"""instinct"""
붓다,"""pour; pay in installments"""
부채,"""fan"""
부러지다,"""break; be broken; fracture; be clear; be perfect"""
보층,"""supplement; replenishment"""
불가피하다,"""inevitable; unavoidable"""
불거리,"""attraction"""
보존,"""preservation"""
비롯되다,"""originate; begin"""
불러일으키다,"""arouse; bring about"""
별,"""particular; specific"""
복부,"""northern part"""
뼈,"""bone; frame; synopsis"""
사회자,"""host; master of ceremonies; chairperson; moderator"""
사적,"""being personal; being private; being in person"""
부족,"""tribe"""
비우다,"""empty; vacate; evacuate; step out; be away"""
문명,"""civilization"""
몫,"""share; portion; role; duty; important role"""
모법,"""model; example"""
묻다,"""be stained with; be smeared with; be contained; be mixed"""
민주주의,"""democracy"""
못되다,"""nasty; naughty; ugly"""
문득,"""suddenly; abruptly"""
면도,"""shave; razor blade"""
물기,"""wetness; moisture"""
묵묵히,"""silently; quietly"""
무더위,"""scorching heat"""
명단,"""list of names"""
못지않다,"""not inferior; as good as; almost equal"""
밀리다,"""be left undone; be delayed; be no match for; be overpowered by"""
몰다,"""steer; drive; gather; corner"""
모처럼,"""with much trouble; after a long interval"""
뭉치다,"""crumple; mass; unite; stand together; make a mass; press together"""
밉다,"""upsetting; ugly"""
물가,"""prices; riverside; waterside"""
면허,"""license; permit"""
몸매,"""body figure; body shape"""
물질적,"""material"""
무려,"""as many as; whooping"""
문화재,"""cultural asset; cultural property"""
묘사,"""description; potrayal; depiction"""
바늘,"""needle"""
물러서다,"""step aside; step back; move back; withdraw; retire; resign; back off; be pushed; be shoved; be moved; be removed"""
물질적,"""being material"""
바구니,"""basket"""
묵다,"""stay; lodge"""
모금,"""fund-raising"""
물결,"""wave"""
몰려오다,"""crowd; throng; come in groups; surge"""
물감,"""paint; dye"""
몽땅,"""all"""
명예,"""honor; glory; fame; reputation; being honorary"""
무ㄴ구점,"""stationery store"""
모,"""so and so"""
물들다,"""be dyed; be colored; be tinged; be imbued; be influenced"""
묶다,"""tie; bind; fasten; tie up; restrict; ban; prohibit"""
무리,"""being too muchl unreasonable; impracticality; being out of reach; burden; stress; strain"""
면하다,"""avoid; evade; be exempt from"""
몰리다,"""be steered; be charged; be denounced; be accused; be branded; flock; swarm; rush"""
묻히다,"""be covered; be hidden; be burried; be concealed"""
못,"""nail"""
멸치,"""anchovy"""
미치다,"""reach; influence; affect"""
명확하다,"""clear"""
물러나다,"""step aside; step back; move back; withdraw; retire; resign"""
미지근하다,"""lukewarm; tepid; half hearted; unenthusiastic"""
무기,"""weapon; arms"""
미련,"""lingering attachment"""
밑바닥,"""bottom; corner; psyche"""
무시,"""disregard; neglect"""
무용,"""dance"""
무관하다,"""irrelevant; unrelated; very close"""
문장,"""good writer; sentence"""
무책임,"""irresponsibility"""
몰래,"""secretly; in secret; stealthily"""
몸살,"""body aching all over"""
문방구,"""stationery; writing supplies; stationery store"""
미처,"""beforehand"""
목숨,"""life"""
몸짓,"""body motion; body movement; action"""
모험,"""adventure"""
무덤,"""grave; tomb"""
몪이다,"""be tied; be bound; be fastened; be restricted; be banned; be prohibited"""
미용사,"""beautician; hairdresser"""
무늬,"""pattern; design"""
모,"""some; one"""
미인,"""beauty; beautiful woman"""
무덥다,"""sultry; sweltering; muggy"""
민족,"""people; ethnic group; race"""
몹시,"""hard; seriously"""
명령,"""order; injunction; command"""
목구멍,"""throat"""
면적,"""area"""
물리다,"""be bitten; gag"""
모래,"""sand"""
문히다,"""stain; smear"""
바가지,"""ripoff"""
문병,"""visiting a sick person"""
무사히,"""safe; intact"""
민속놀이,"""folk play; traditional game"""
물다,"""hold with one's lips or teeth; grit one's teeth; clench one's teeth; press one's lips together; bite"""
미장원,"""beauty parlor; beauty salon"""
무렵,"""around; about"""
베풀다,"""throw; give; hold; do someone a favor"""
벌리다,"""spread; widen the distance between; pry open; open; split; spread out; open"""
배치,"""arrangement; placement"""
번거롭다,"""inconvenient; cumbersome; annoying"""
벌 ,"""punishment; penalty"""
방안,"""way; measure"""
방지,"""prevention"""
밤,"""chestnut"""
밤중,"""midnigh; dead of the night"""
밟히다,"""be stepped; be shadowed; be followed; be bullied"""
반죽,"""kneading; dough; mixture; mix"""
박히다,"""be hammered; be rammed; be pegged; be screwed; be inserted; be embedded; be thrust"""
벌레,"""worm; bug; hardworker"""
바치다,"""give; offer; bring; deliver; donate; dedicate; devote"""
바탕,"""foundation; basis; innate quality; background; ground"""
벌어지다,"""widen; have a crack; grow; be broad"""
번개,"""lightning"""
번갈다,"""take turns; alternate; handle one at a time"""
번지,"""house number; street address"""
방해,"""distraction; getting in one's way; disturbance"""
배낭여행,"""backpacking"""
배꼽,"""navel; belly button"""
밝혀지다,"""be illuminated; be lightened; be brightened; be revealed; be disclosed"""
발자국,"""footprint; footmark"""
밝혀내다,"""reveal; disclose; discover"""
반복,"""repetition"""
반납,"""return"""
반성,"""introspection; self contemplation; remorse"""
바래다주다,"""see off"""
바위,"""rock; boulder"""
바싹,"""completely; closely; tightly; drastically"""
벌떡,"""all of a sudden; quickly; on one's back"""
벌금,"""fine; penalty"""
배다,"""permeate; soak into; be familiar; grow accustomed; linger"""
배경,"""background; situation; backing; support"""
벌,"""bee"""
발전,"""development; advancement; progress; growth"""
발달,"""development; growth"""
밟다,"""step on; bully; pace; step; tread"""
반하다,"""be attracted; be enchanted"""
받침,"""support; prop"""
발견,"""discovery; detection"""
반영,"""reflection"""
바르다,"""straight; upright; right; righteous; true; honest; correct"""
배웅,"""send-off"""
뱉다,"""spit; give back; return; speak thoughtlessly"""
배려,"""consideration; thoughtfulness"""
방울,"""drop"""
발행,"""publication; issuance"""
바람직하다,"""desirable"""
바퀴,"""circle"""
바둑,"""game of go"""
반발,"""opposition; resistance"""
반창고,"""adhesive tape; sticking plaster"""
벌이다,"""kick off; start; setup; display"""
벗어나다,"""go out of; not work out; free oneself from"""
번화하다,"""bustling; thriving"""
배우자,"""spouse"""
뱃속,"""mind; stomach; inside of stomach"""
밤색,"""chestnut; nutbrown color; maroon"""
발명,"""invention"""
바퀴,"""wheel"""
반기다,"""rejoice; be pleased; be glad"""
맡다,"""smell; sniff; get wind of; detect; undertake; take care of; take on; be incharge of; take charge of; assume; serve as; play a role of; act; be cast as"""
때때로,"""occasionally"""
마주,"""face to face; likewise"""
들려오다,"""be heard"""
따르다,"""follow; equal; match; respect"""
들리다,"""become sick; become possessed"""
마치,"""as if"""
뛰어놀다,"""romp; frisk"""
등장,"""appearance; entrance; advent"""
든든하다,"""feeling reassured; feeling safe; strong; firm; robust; sound; secure; solid"""
따지다,"""question closely; nitpick; quibble over; calculate"""
뒤집다,"""turn inside out; turn upside down; reverse"""
맨,"""most; the very"""
드나들다,"""go in and out; go to a place frequently; go here and there"""
돌아보다,"""look back; look back on; reflect on; look around"""
떠오르다,"""rise; come up; come across one's mind; strike; appear"""
뒤늦다,"""belated"""
맡기다,"""assign; entrust; charge; place; appoint; leaving something with"""
돌보다,"""take care of; handle; deal with"""
동기,"""same period; contemporary"""
동부,"""eastern part"""
동료,"""coworker; colleague"""
뜨다,"""knit; weave; sew; tattoo"""
머물다,"""stay temporarily; stop over; anchor; remain"""
두리번거리다,"""look around"""
동호회,"""club"""
뛰어들다,"""thrust oneself into; dive into; enter with a risk"""
두렵다,"""fearful; scared; afraid"""
동의,"""being synonymous"""
마찰,"""friction; conflict"""
동요,"""children's song"""
도심,"""downtown"""
둘레,"""circumference; periphery; girth"""
멎다,"""stop; cease; come to a stop"""
마약,"""illicit drug"""
메우다,"""fill in; fill up; makeup; replenish"""
돌아서다,"""turn; change"""
도저히,"""not at all; by any possibility"""
말다,"""put in water; put in soup"""
땅속,"""underground"""
동화,"""children's story"""
도입,"""introduction"""
맞이하다,"""receive; accept; take"""
드물다,"""infrequent; uncommon; sparse; rare"""
띄다,"""be seen; be noticeable; become interested"""
독하다,"""poisonous; potent; strong; spiteful; venomous"""
딴,"""different; other; another"""
마음씨,"""temper"""
마침,"""opportunely; just at the time"""
뜰다,"""remove; pluck; pull; pick; bite"""
뜻밖,"""being unexpected"""
막,"""hard; seriously; at random; haphazardly"""
둘러싸다,"""wrap; surround; enclose; encompass"""
때 ,"""dirt; taint; defilement"""
마땅하다,"""proper; suitable; satisfying; agreeable; natural; right"""
매,"""whip; rod"""
맞춤법,"""spelling"""
매달다,"""hang; dangle"""
막연하다,"""hazy; vague"""
망설이다,"""hesitate"""
두통,"""headache"""
되풀이,"""repetition"""
멀미,"""motion sickness; travel sickness; hatred"""
멀쩡하다,"""uninjured; unwounded; sane; sober; spotless"""
되살리다,"""bring to life; bring life to; revive; resurrect; restore; wake; recall"""
독립,"""independence"""
마련,"""preparation; plan"""
마디,"""node; knot; joint"""
망하다,"""be ruined; be destroyed"""
도중,"""being in the middle; being on the way"""
막상,"""in reality"""
뒤따르다,"""follow; chase; go after; result in; benchmark; follow the example of"""
떠올리다,"""recall; recollect; show"""
동서남북,"""all directions; north south east west"""
돌멩이,"""stone; pebble"""
머뭇거리다,"""jib at; hold back; waver"""
동창회,"""alumni association"""
떨리다,"""be shaken off; be beaten off; fall off"""
떼,"""group; aggregation"""
두드리다,"""knock; tap; thrash; strike; touch someone's heart"""
마침내,"""finally; after all; at last"""
둘러보다,"""look around; browse"""
마땅히,"""naturally; suitably"""
맺다,"""form; bear; blossom; flower; tie; knot"""
마주치다,"""crash against; collide; run against; happen to meet; run across; eyes meet"""
동포,"""compatriot"""
맞은편,"""other side"""
독자,"""reader"""
마음가짐,"""mindset"""
뒤지다,"""fall behind; lag behind; be inferior; be later in time"""
띠,"""belt; band; strip"""
뜻대로,"""one's own way"""
두드러지다,"""stick out; protrude; be embossed; remarkable; prominent; conspicuous"""
뜻밖에,"""unexpectedly"""
띠다,"""put on; tie; wear; carry; be entrusted with"""
되게,"""very; really"""
말다,"""roll; roll up"""
뛰어다니다,"""jump about; run about; run around"""
돌아다니다,"""wander; stroll; spread; prevail"""
망가지다,"""be broken; be destroyed; be ruined"""
뚜렷하다,"""clear"""
만만하다,"""easy"""
뜨다,"""float; buoy; get loose; come off; be excited; be upbeat"""
두뇌,"""brain; head; mind"""
되도록,"""if possible"""
멋대로,"""as one likes"""
매체,"""medium"""
떼다,"""take off; detach; remove; take out of; take from; take away from; deduct; set aside; turn away from; break away from; separate from; distance from"""
도자기,"""pottery"""
망치다,"""ruin; spoil"""
맞다,"""be beaten; be hit; be injected; be shot"""
도특하다,"""unique"""
되돌아가다,"""go back; return"""
멍,"""bruise; black and blue; scar; damage; shock"""
맞서다,"""face; confront; stand face to face; stand against; rise against; accept; not give in"""
뜰 ,"""yard"""
말끔히,"""cleanly"""
먹이다,"""make someone eat; feed; scare; frighten; shock; starch; grease; oil; soak with"""
두어,"""a couple of"""
도장,"""seal; stamp"""
